,Pregunta_1,Pregunta_2,Pregunta_3,Pregunta_4,Pregunta_5,Pregunta_6,Pregunta_7,Pregunta_8,Pregunta_9,Pregunta_10,comentario
0,3,4,3,4,4,4,4,4,3,4,"Estar mas al pendiente de los estudiantes tanto de forma académica como de forma personal,y  avisar sobre eventos que sea importantes para la universidad"
1,4,4,4,4,3,4,3,3,3,4, 
2,4,4,4,4,3,4,4,4,4,4,"Una excelente universidad, muy amables todos , ojalá siempre sean así de accesibles :) "
3,4,4,4,4,4,4,4,4,4,4, 
4,4,4,3,4,4,4,4,4,4,4, 
5,4,4,4,4,4,4,4,4,4,4,Muy amables su atención 
6,4,4,4,4,4,3,4,4,4,3, 
7,4,4,4,4,4,3,4,1,3,3,"Se necesita tener más empleados en estas áreas, ya que a pasado algunos pequeños problemas pero siempre dan solución. Pero si se necesita más colaboradores en el resto de las áreas de la escuela "
8,3,3,3,2,3,3,2,3,2,3, 
9,4,4,4,3,3,4,3,4,4,3,"El personal administrativo y de servicios siempre están al pendiente para resolver nuestras dudas, pero en algunas cosas no quedo conforme ya que no tenemos internet cuando necesitamos buscar algo de la clase y no tuvimos posada."
10,4,3,3,1,3,4,3,4,4,4,Solo llamo a la escuela y no está la persona que busco para preguntarle mi duda y tengo llamar más tarde pero resuelven mi duda.
11,4,4,4,4,4,4,4,4,4,4,Excelente atención 
12,4,4,4,4,4,4,4,4,4,4,Excelente trabajo que desarrolla cada uno en la universidad. 
13,4,4,4,4,4,4,4,4,4,4,Excelente trabajo el que desarrolla cada quien en la Universidad. 
14,4,4,4,3,4,4,4,4,4,4,"Tienen muy buen servicio al estudiante solo falta estar un poco más atentos al maestro que nos dejen tareas, que nos califiquen pero de ahí todo lo demás excelente."
15,4,4,4,4,4,4,4,4,4,4,Es un personal muy profesional y hasta ahorita están a la dispocicion de escuchar a los alumnos 
16,4,4,4,2,4,4,4,1,4,4, 
17,4,4,4,4,3,4,4,4,4,4,"El personal administrativo es amable, responsable con los alumnos y siempre estan atentos cuando requerimos comunicarnos con ellos."
18,4,4,4,4,4,3,4,4,4,4,Nunca he tenido ningun problema con lo administrativo ni su personal.
19,3,3,4,3,4,3,3,3,4,4, 
20,4,4,4,1,4,4,4,4,4,4, 
21,3,3,3,3,3,3,3,3,3,3, 
22,4,4,3,4,4,4,4,4,4,4, 
23,2,2,2,4,3,3,4,2,2,2, 
24,4,4,4,4,4,3,4,4,4,4, 
25,4,3,3,3,3,3,2,3,3,3, 
26,3,3,4,3,2,4,4,4,4,1,Desde que entró Sandra todo se a desarrollado mejor !!! 
27,3,3,3,2,3,3,4,3,3,3,"Creo estar satisfecha con el trato, no he tenido problemas."
28,3,4,3,4,4,3,4,4,4,3,"Brindan muy buen servicio, no tengo ninguna problemática y resuelven cualquier duda. "
29,3,3,3,3,3,3,3,3,3,3,"El servicio esta mejorando, el cambio de personal en algunas áreas ha sido positivo. 
En mi punto de vista no es profesional usar perfiles personales de facebook para atender asuntos escolares, sugiero que se cree un facebook para el área asignada ejem: Escolare, Coordinación, etc. en lugar de Maria Gutierrez. 
Se que quizás no tenga mucha importancia pero contestar o mandar información todo en mayúsculas no me parece apropiado.
La puntualidad debe ser una prioridad, si se inician las clases o servicios a las 8, el plantel debe estar listo para actividades a las 7:30.
De antemano agradezco la oportunidad que nos brindar para comentar."
30,3,4,2,3,3,3,3,3,3,3, 
31,1,1,2,1,2,2,1,2,2,1,la persona que se encuentra en el área de administración atiende de muy mala gana. 
32,4,4,4,4,4,4,4,4,4,4, 
33,4,4,3,3,4,4,4,4,4,4, 
34,4,4,3,4,4,4,4,4,4,4,"El personal de administración y servicios escolares tiene mucha empatía y dedicación hacia los alumnos, les agradezco las atenciones que nos han brindado a lo largo de este tiempo."
35,4,4,4,4,4,4,4,4,4,4,siempre atendieron y respondieron mis dudas.
36,4,3,3,4,4,4,4,4,4,4, 
37,4,4,4,4,4,4,4,4,3,4, 
38,4,4,4,4,4,4,4,4,4,4,excelente servicio 
39,4,4,4,4,4,4,4,4,4,4, 
40,3,4,3,4,3,3,4,4,4,4,Muy buena cordinacion
41,4,4,4,3,4,4,4,4,3,4, 
42,3,3,2,4,1,2,3,3,1,2, 
43,2,4,3,2,4,3,4,2,3,4,Los valores son necesarios al representar una institución 
44,4,3,3,4,3,3,3,4,3,4,
45,3,3,2,3,3,3,3,3,3,3, 
46,4,4,4,4,4,4,4,4,4,1, 
47,4,4,4,4,4,3,4,4,4,3, 
48,4,4,4,4,3,4,4,4,4,4,"excelente personal de servicio administrativo desde mi  opinión si muestran los valores con los que navega la institución, sobre todo con la empatía que tienen para algunos de los alumnos, saludos en general y felices fiestas una mención honorifica para la Lic. Sandra bustillo que es una excelente coordinadora "
49,4,4,4,4,4,4,4,4,4,4, 
50,3,3,2,4,4,3,4,3,3,4,
51,3,2,3,3,3,3,3,3,3,3, 
52,4,4,4,4,4,4,4,4,4,4,Que todo los docentes son muy ecelentes maestros y apoyan en todo 
53,4,4,4,4,4,3,3,3,4,4,Es una buena universidad y su personal es bueno me gusta 
54,4,4,4,4,4,4,4,4,4,4, 
55,4,3,4,3,4,4,4,4,4,4,Otorgan una amplia disponibilidad y siempre capaces de atenderte con la mejor disposición 
56,4,4,4,4,4,4,4,4,3,4, 
57,4,4,4,4,4,4,4,4,4,4, 
58,4,4,4,4,4,4,4,4,4,4, 
59,4,4,4,4,4,4,4,4,4,4,"El personal o departamento administrativo, son accesibles, eficientes, respetuosos y lo mas importante resuelven dudas o problemáticas."
60,4,4,4,4,4,4,4,4,4,4, 
61,4,4,4,4,4,4,4,4,4,4,la atención al estudiante es muy buena 
62,4,4,4,4,4,4,4,4,4,4,la atención al estudiante es muy buena 
63,4,4,4,4,4,4,4,4,4,4,la atención al estudiante es muy buena 
64,4,4,4,4,4,4,4,4,4,4,la atención al estudiante es muy buena 
65,4,4,4,4,4,4,4,4,4,4,la atención al estudiante es muy buena 
66,4,4,4,4,4,4,4,4,4,4, 
67,4,4,4,4,4,4,4,4,4,4,"Siempre son muy amables, brindan muy buen trato!"
68,4,4,3,3,4,4,4,4,4,4, 
69,4,4,4,4,4,4,4,4,4,4,"el personal administrativo y de servicios , brindan la informacion de una manera rapida, cualquier duda que tengo me la responden , es muy agradable la forma de atender."
70,3,3,3,3,4,3,3,3,2,3, 
71,4,4,4,4,4,4,4,4,3,4,"Me agrada mucho la universidad, y el rato que recibimos del personal en general."
72,4,4,4,4,4,4,4,4,4,4,"En su mayoría, las consultas que realice fueron vía correo electrónico y recibí una rápida respuesta."
73,3,3,3,3,3,3,3,3,3,3, 
74,4,4,4,4,4,4,4,4,4,4,"Los compañeros son muy deedicados , muy amables , simpátics , respetuosos y atienden Muy bienn🥰 gracias "
75,4,4,3,3,4,3,4,4,3,4, 
76,4,4,4,4,4,3,4,4,4,4, 
77,4,4,3,3,4,4,4,4,4,4, 
78,4,4,4,4,4,4,4,4,4,4, 
79,4,4,4,4,4,4,4,4,4,4, 
80,3,3,3,4,4,3,3,3,2,3, 
81,4,4,4,3,4,4,4,4,4,4, 
82,4,4,4,3,4,4,4,4,4,4, 
83,4,3,3,4,4,4,4,4,3,3, 
84,4,4,4,4,3,4,4,4,4,4, 
85,4,4,3,3,4,3,3,3,3,4, 
86,4,4,4,4,3,4,4,4,4,4,"El personal siempre está disponible ante cualquier  duda que surge, siempre con soluciones de acuerdo a nuestras posibilidades, amables y atentos!"
87,4,4,4,4,4,4,4,4,4,4,No tengo ninguna queja con el tipo de servicio recibido gracias
88,4,3,3,3,4,4,4,3,3,3,"El personal administrativo y demás te ayuda con tus problemas en entender algunas cosas y si te atiende, de forma formal. "
89,4,4,4,4,4,4,4,4,4,4, 
90,4,3,3,3,2,3,3,2,3,4,"Necesitamosnmas mas apoyo para la elavoracion de practicas por parte de la institucion asi como equipo, material para realizarlas "
91,3,4,4,4,3,4,4,4,4,4,"Sin comentarios.
Todo bien!!!"
92,4,4,4,4,4,4,4,4,4,4, 
93,4,4,4,4,3,4,4,4,4,4,"El personal administrativo en lo personal siempre resolvían dudas y atendían cada pregunta o comentario que se nos presentará. Están administrados de tal manera que cada área es atendida adecuadamente respecto a cualquier duda o en su caso inconveniente que se nos presentará, siempre muy atentos y respetuosos. "
94,3,3,2,3,3,4,4,3,3,4,"Son atentos, pero no estaría mal brindar más atención a los estudiantes."
95,4,4,4,4,3,3,4,4,3,3, 
96,4,4,4,4,3,4,4,4,4,4,Muy eficaces
97,4,4,2,3,4,4,4,3,2,4,"Le doy las gracias por tomar en cuenta la opinión de los alumnos.
Una cosa que quiero mencionar, es que tengan maestros preparados y que amen su profesión y no nada más por el dinero, tuve una mala experiencia con una maestra que me reprobó, según ella yo no estaba en la plataforma, cuando si estaba y entregue los trabajos a tiempo.  Solo que tomen en cuenta que es una universidad privada, en donde el alumno debe de recibir el mejor trato."
98,4,4,3,3,4,3,3,4,3,4, 
99,3,4,3,3,3,3,3,3,3,3, 
100,3,4,2,4,2,2,2,2,2,4, 
101,3,4,4,4,4,4,4,4,4,4, 
102,4,4,4,4,4,4,4,4,4,4, 
103,4,4,4,3,4,4,4,4,3,4, 
104,4,4,4,4,4,4,4,4,4,4, 
105,4,4,4,4,4,4,4,4,4,4, 
106,4,4,4,4,4,4,4,4,4,4, 
107,3,3,3,3,2,3,4,4,3,3, 
108,4,4,4,4,4,4,3,4,4,4,"Son amables y muy serviales, apoyan a sus estudiantes en tiempo de dificultades. Son compencibles. "
109,4,4,4,4,4,4,4,4,4,4, 
110,4,4,4,4,4,4,4,4,4,4, 
111,4,4,4,4,4,4,4,4,4,4,Todas mis dudas fueron aclaradas con amabilidad y con congruencia me brindaron atención así les llamará 5 veces al día Muchas Gracias 
112,3,3,3,3,3,3,3,3,3,3, 
113,4,4,4,4,4,4,4,4,4,4, 
114,4,4,4,4,4,4,4,4,4,4,"Universidad de ensenada cuenta con un personal administrativo muy amable , es muy entendible a la hora de realizar los pagos y si en dado caso de que tengas algún desvalanze económico te dan oportunidad y es de mi parte es muy buena institución 😊"
115,2,2,2,3,2,2,2,2,2,3, 
116,4,4,3,4,4,3,3,4,4,4,Por mi parte el servicio  es bueno ya que cuando yo silicito apoyo para algun  tramite  que necesito hacer  cuento con el apoyo del personal.
117,4,4,4,4,4,4,4,4,4,4,en lo personal siempre an sido amables y muy respetuosos.  a mis peticiones y dudas. exelente  trabajando.  
118,4,4,2,1,4,4,4,4,2,4, 
119,4,4,4,4,4,4,4,4,4,4, 
120,4,4,4,4,4,4,4,4,4,3,
121,4,4,3,3,4,3,4,4,4,4, 
122,4,4,3,4,4,4,3,4,4,4, 
123,3,3,3,4,3,3,4,4,3,4, 
124,4,4,3,4,4,4,4,4,4,4,"Quiero agradecer a todos ya que siempre se han portado de una manera muy amable , atenta , y sobre todo respetuosa "
125,4,3,4,3,3,4,4,4,4,4, 
126,4,4,4,4,4,4,4,4,4,4,Excelente servicio por parte del personal administrativo 
127,4,4,4,2,3,4,3,3,3,3, 
128,4,4,4,4,4,4,4,4,4,4, 
129,4,4,4,4,4,4,4,4,4,4, 
130,3,3,3,3,4,3,4,3,3,4,En general tanto administrativos como profesores de la escuela se desempeñan de buena manera en su trabajo.
131,3,4,4,4,4,3,3,4,2,4, 
132,4,3,3,4,4,3,4,3,4,3, 
133,4,4,4,4,4,4,4,4,4,4,Es bueno el trato del personal hacia los alumnos 
134,4,3,3,3,3,4,3,3,3,3," Dan buen servicio, solo que a veces tardan en responder"
135,3,4,3,4,4,4,4,4,3,4, 
136,4,4,4,4,4,4,4,4,4,4, 
137,4,4,4,4,4,4,4,4,4,4,Me tratan muy bien 
138,4,4,4,4,4,4,4,4,4,4,En todas las ocaciones que eh requerido ayuda del personal administrativo la respuesta es muy rápida y siempre buscan ayudarte a aclarar tus dudas o dar seguimiento a las mismas
139,4,3,3,4,4,4,4,4,4,4, 
140,4,4,4,3,4,4,4,4,4,4,Escribe aquí tus comentarios. (Recuerda borrar este texto antes de escribir tu comentario) los administrativos son perfectos todo es fácil en cual quier horario 
141,4,4,4,4,3,4,4,4,4,4,Siempre son muy claros con respecto a nuestras dudas que nos surgen en el trayecto. 
142,4,4,4,4,4,4,4,4,4,4,Excelente servicio!! 
143,4,4,4,4,4,4,4,4,4,4, 
144,4,4,4,4,4,4,4,4,4,4, 
145,4,4,4,4,4,4,4,4,4,4, 
146,4,4,4,4,4,4,4,4,4,4,Tienen buena a tensión y siempre están dispuestos a responder cualquier duda que tengamos
147,4,4,4,4,4,4,4,4,4,4, 
148,4,4,4,4,3,4,4,4,4,4, 
149,4,4,4,4,4,4,4,4,4,4, 
150,4,3,3,3,3,3,4,4,4,4,"No existe quejas relacionadas con el personal administrativo y servicios de la universidad, dado que a pesar de un limitado horario de disposición se sabe que serás bien atendido."
151,3,3,3,3,3,3,3,3,3,3,Muchas gracias.
152,4,4,4,4,4,4,4,4,4,4, 
153,4,3,4,4,3,3,4,4,4,4,No ha habido algún inconveniente con el personal administrativo y de servicios de la universidad. A pesar del limitado horario de atención se sabe que serás bien atendido(valga la redundancia).
154,4,4,4,4,4,4,4,4,4,4, 
155,4,3,4,4,4,3,4,4,4,3, 
156,4,4,4,4,4,4,4,4,4,4,Bien 
157,3,3,4,1,4,3,3,3,3,3,"Hasta la fecha no he tenido ningún problema, pero tampoco he tenido la necesidad de ocupar algo por parte de ellos."
158,4,4,4,4,4,4,4,4,4,4, 
159,4,4,1,4,1,4,1,1,1,1, 
160,4,4,4,4,4,4,4,4,4,4, 
161,4,4,4,4,4,4,4,4,4,4,Todo bien.  Gracias 
162,4,4,4,4,4,4,4,4,4,4,Todos son muy profesionales y se nota el compromiso con la escuela.
163,4,4,4,4,4,4,4,4,4,4, 
164,4,4,3,4,2,3,4,3,4,4,"El servicio administrativo ha mejorado y se ha adaptado a las adversidades que se nos han presentado, no obstante siguen al pendiente del alumnado y buscan innovar continuamente para proporcionar una mejor calidad educativa."
165,4,4,3,4,2,4,4,4,4,4,"El servicio administrativo ha mejorado y se ha adaptado a las adversidades que se nos han presentado, no obstante siguen al pendiente del alumnado y buscan innovar continuamente para proporcionar una mejor calidad educativa."
166,4,4,3,4,2,3,4,4,4,4,"El servicio administrativo ha mejorado y se ha adaptado a las adversidades que se nos han presentado, no obstante siguen al pendiente del alumnado y buscan innovar continuamente para proporcionar una mejor calidad educativa."
167,4,4,4,4,4,4,4,4,4,4, 
168,4,4,3,4,4,3,4,4,4,4, 
169,2,2,3,3,2,3,3,3,3,4, 
170,3,1,4,3,4,3,3,3,3,4,"La forma de atender al alumno, es muy bueno "
171,4,4,4,4,4,3,3,4,4,3,"al menos en mi experiencia no he tenido una queja al respecto, han sido muy amables y comprensibles. "
172,2,2,2,1,2,2,4,2,4,1,yo en lo personal casi no he ido ala univesidad porque siempre  hago llamadas telefonicas  para saber que esta pasando con mi situacion escolar. o si tengo alguna duda.
173,4,4,3,4,4,3,4,4,4,4, 
174,3,3,3,3,3,4,4,4,4,4, 
175,3,3,3,1,3,2,2,2,2,2, 
176,4,4,4,4,4,4,4,4,4,4,Excelente personal muy amables y considerados 
177,4,4,4,4,4,3,4,4,4,4,Debería haber una parte en el aula virtual donde se ponga el promedio obtenido y las calificaciones de las materias
178,4,4,4,4,4,4,4,4,4,4,"siempre nos han brindado un excelente servicio 
siempre están para atender cualquier tipo de situación y se han mostrado muy comprensibles y amables"
179,2,2,4,3,4,3,4,4,3,4, 
180,4,4,4,4,4,4,4,4,4,4,"En estos momentos sin queja alguna, exelente atención gracias buen día."
181,4,2,2,4,2,4,4,4,4,4,a veces por el teléfono no me proporcionan la info adecuada 
182,4,4,4,1,4,4,4,4,4,4, 
183,4,4,4,4,4,4,4,4,4,3, 
184,4,3,3,4,2,3,4,3,4,2, 
185,4,4,4,4,4,4,4,4,4,4,el personal administrativo es todo momento muy amable y eficiente en atender las necesidades de los alumnos y en ayudar a agilizar procedimientos.
186,4,4,4,4,4,4,4,4,4,4, 
187,4,4,4,4,4,4,4,3,4,4,todo bien 
188,3,3,2,4,4,3,4,4,3,4, 
189,4,4,4,4,4,4,4,4,4,4, 
190,4,4,4,4,4,4,4,4,4,4,"La verdad estoy completamente agradecido ,con todo el personal de la universidad ya que siempre que tengo alguna duda me la resuelven  y de una manera muy amable, atenta y muy accesibles ,si pudiera poner una calificación seria un 10."
191,4,4,4,4,4,4,4,4,4,4,Excelente servicio ⭐⭐⭐⭐⭐
192,2,2,2,3,2,3,2,3,2,4, 
193,4,4,4,4,3,4,4,4,3,4, 
194,4,4,4,4,4,4,4,4,4,4, 
195,4,4,3,4,4,3,4,4,4,4,Excelente servicio solo el Horario siempre Me confundo con las horas de comida y las horas de Servicio 
196,3,3,2,2,4,3,3,3,3,4, 
197,4,4,3,4,4,4,4,4,4,3, 
198,4,4,4,4,4,4,4,4,3,4, 
199,4,4,4,3,4,4,4,2,4,4, 
200,3,4,4,4,4,3,4,4,4,4, 
201,4,3,4,4,3,3,3,3,4,2,"Que los anuncios o situaciones que se tengan que informar a los alumnos, se diga en el salón de clases ya que no siempre estamos al pendiente o tenemos disponibilidad de revisar la plataforma."
202,4,4,3,4,4,4,4,4,3,4, 
203,4,4,4,4,4,4,4,4,3,3, 
204,4,4,4,4,4,4,4,4,4,4, 
205,3,3,2,2,4,3,3,3,3,4, 
206,4,2,2,4,4,4,2,3,2,4, 
207,4,4,4,4,4,4,4,4,4,4,El personal brinda un excelente servicio y atención para nosotros los estudiantes.
208,2,3,3,4,4,4,4,4,4,4, 
209,4,3,3,4,4,4,4,4,3,4, 
210,3,4,3,4,2,4,4,4,4,4, 
211,4,4,3,4,3,3,4,3,3,3,tienen muy buen servicio hacia los estudiantes.
212,3,4,4,3,4,4,4,4,3,4, 
213,4,4,2,4,3,4,4,3,4,4, 
214,4,4,4,4,4,4,4,4,4,4, 
215,4,4,4,4,4,4,4,4,4,4, 
216,4,4,4,4,4,4,4,4,4,4, 
217,4,4,4,4,4,4,4,4,4,4,siempre me han tratado muy bien cuando tengo alguna duda o situación 
218,4,4,4,4,4,4,4,4,4,4,Es excelente.
219,4,4,4,4,4,4,4,4,4,3,Agradecer a mis maestros por la empatía y atenciones que nos an tenido  
220,2,2,1,2,2,2,2,3,2,3, 
221,4,4,4,4,4,4,4,4,4,4,"Me encanta que todos de recepción Sena muy amables, empáticos y respetuosos. Estoy muy satisfecha con el servicio que brindan"
222,3,3,3,2,3,3,3,3,3,3, 
223,4,4,4,4,4,4,4,4,4,4, 
224,4,4,4,4,4,4,4,4,4,4,"feliz navidad al personal administrativo.

Dios Bendiga Norte America. EEUU"
225,4,4,4,4,4,4,4,4,4,4, 
226,4,4,3,4,4,4,4,4,4,4, 
227,4,4,3,3,4,4,4,2,4,4, 
228,4,3,3,3,4,2,2,2,3,3,"Todos muy amables y dedicados, pero creo que les falta muchas mejorías en administración."
229,4,3,3,3,4,2,2,2,3,3,"Todos muy amables y dedicados, pero creo que les falta muchas mejorías en administración."
